limitation_id,detail
tail_support,"Return-period estimates with order-statistic rank below 20 are diagnostics, not headline estimates."
sparse_VaR,Gross annual VaR at 99% and 99.5% is zero. The corresponding VaR capital and diversification ratios are non-informative.
attachment_identification,The TVaR capital-relief-per-ceded-dollar score ties across the tested attachment grid. No unique best attachment is identified.
diversification,AAL is additive. At the selected TVaR confidence levels the sparse annual loss support also produces additivity; this does not establish absence of diversification at other quantiles.
pricing,"RAROC and break-even premiums are assumption grids, not market quotes or central estimates. Matching premium multiples implies different absolute earned premiums across cases."
uncertainty,Paired bootstrap intervals quantify catalog sampling variation under frozen models. Notebook 12 intervals condition on the fitted trigger and omit calibration uncertainty.
trigger_grid,Both selected distance-decay parameters lie at the candidate grid's upper boundary. Optimality outside that grid is not established.
parametric_cash,A source-only payout is identical across cases. Excess payouts and unfunded losses are separate; signed cash-net losses may be negative.
comparison_period,Insurance/reinsurance results use all two million years. Parametric headline results use only the held-out final million years.
model_scope,"Results are conditional on the frozen catalog, portfolio, vulnerability, policy terms, and dependence models. They are a research comparison, not a calibrated capital or placement recommendation."
legacy_bytes,Notebook 08 inventory text uses explicit CRLF reconstruction for its original Windows-byte hashes. Notebook 08 and 09 handoffs are pinned to their published LF byte views. Both modes are exposed in the audit; no frozen input is rewritten.
